"0" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15"
"Endov" 0.0113207547169811 0.024 0.0358744394618834 0.0594059405940594 0.0402684563758389 0.0342465753424658 0.0336134453781513 0.0434782608695652 0.0412371134020619 0.0277777777777778 0.0153846153846154 0.0625 0.0454545454545455 0.0333333333333333 0.0769230769230769 0
"Ipmk" 0.0490566037735849 0.048 0.0448430493273543 0.0445544554455446 0.0268456375838926 0.0821917808219178 0.0588235294117647 0.147826086956522 0.0412371134020618 0.0416666666666667 0.0461538461538462 0.0625 0.0909090909090909 0.1 0.0384615384615385 0
"Stxbp4" 0.0528301886792453 0.016 0.0493273542600897 0.0643564356435644 0.0604026845637584 0.0273972602739726 0.0504201680672269 0.0347826086956522 0.0206185567010309 0 0.0307692307692308 0 0.0681818181818182 0.0333333333333333 0.0769230769230769 0
"Adam33" 0.0452830188679245 0.044 0.161434977578475 0.0148514851485149 0.0268456375838926 0.0273972602739726 0.260504201680672 0.104347826086957 0.0103092783505155 0.0138888888888889 0.0153846153846154 0.046875 0.318181818181818 0 0.961538461538461 0
"Ncoa2" 0.0377358490566038 0.084 0.0896860986547085 0.0544554455445545 0.100671140939597 0.13013698630137 0.0672268907563025 0.0869565217391304 0.0721649484536082 0.0416666666666667 0.0615384615384615 0.03125 0.0454545454545455 0 0.192307692307692 0
"Fgf12" 0 0 0.00448430493273543 0 0.00671140939597315 0 0 0 0 0 0.0153846153846154 0 0 0.2 0.0384615384615385 0
"Ccdc137" 0.0264150943396226 0.036 0.0941704035874439 0.103960396039604 0.100671140939597 0.0136986301369863 0.0756302521008403 0.00869565217391304 0.185567010309278 0.0833333333333333 0.107692307692308 0.015625 0.0454545454545455 0.0666666666666667 0.153846153846154 0
"Mapre3" 0.0188679245283019 0.108 0.0986547085201794 0.232673267326733 0.114093959731544 0.0205479452054795 0.0840336134453781 0.0869565217391304 0.22680412371134 0.0694444444444444 0.138461538461538 0 0.159090909090909 0.0333333333333333 0.115384615384615 0
"Frmd4a" 0.0113207547169811 0.06 0.121076233183856 0.099009900990099 0.0671140939597315 0.171232876712329 0.0588235294117647 0.0869565217391304 0.175257731958763 0.111111111111111 0.0923076923076923 0.078125 0.0681818181818182 0.0333333333333333 0 0
"Atp6v0a2" 0.0452830188679245 0.06 0.0852017937219731 0.163366336633663 0.140939597315436 0.089041095890411 0.0840336134453782 0.0782608695652174 0.164948453608247 0.0694444444444444 0.0769230769230769 0.03125 0.0909090909090909 0.233333333333333 0.192307692307692 0
"Dlg1" 0.0339622641509434 0.088 0.0807174887892377 0.0940594059405941 0.134228187919463 0.0479452054794521 0.176470588235294 0.0521739130434783 0.144329896907216 0 0.138461538461538 0.0625 0.136363636363636 0.233333333333333 0.0769230769230769 0
"Txlna" 0.0641509433962264 0.132 0.233183856502242 0.257425742574257 0.100671140939597 0.13013698630137 0.184873949579832 0.173913043478261 0.34020618556701 0.0833333333333333 0.369230769230769 0.09375 0.136363636363636 0.2 0.0769230769230769 0
"Higd1b" 0.0641509433962264 0 0 0 0 0 0 0 0 0.0416666666666667 0 0 0.295454545454545 0 0 0
"Inpp4a" 0.260377358490566 0.244 0.161434977578475 0.316831683168317 0.23489932885906 0.397260273972603 0.310924369747899 0.8 0.350515463917526 0.180555555555556 0.276923076923077 0.28125 0.681818181818182 0.566666666666667 0.192307692307692 0
"Ralgps1" 0 0.012 0.00448430493273543 0.0247524752475248 0 0.0342465753424658 0.00840336134453781 0.0347826086956522 0.0206185567010309 0 0.0307692307692308 0 0.0681818181818182 0.0666666666666667 0.0384615384615385 0
"Gm7670" 0 0.008 0.00896860986547085 0.0247524752475248 0 0.00684931506849315 0.00840336134453781 0 0.0309278350515464 0 0 0.015625 0 0 0.0384615384615385 0
"Ccdc114" 0.0490566037735849 0.068 0.0852017937219731 0.118811881188119 0.0536912751677852 0.0616438356164384 0.0756302521008403 0.0869565217391304 0.11340206185567 0.0972222222222222 0.0153846153846154 0 0.0909090909090909 0.0666666666666667 0.0384615384615385 0
"Eml2" 0.0415094339622641 0.02 0.0896860986547085 0.133663366336634 0.0268456375838926 0.0342465753424658 0.0168067226890756 0 0.0927835051546392 0.0138888888888889 0.0153846153846154 0.0625 0.409090909090909 0.0333333333333333 0.269230769230769 0
"Pfdn6" 0.0981132075471698 0.144 0.246636771300448 0.297029702970297 0.342281879194631 0.486301369863014 0.294117647058824 0.391304347826087 0.268041237113402 0.263888888888889 0.261538461538461 0.03125 0.409090909090909 0.566666666666667 0.692307692307692 0
"Cep128" 0.0113207547169811 0.016 0.0179372197309417 0.0247524752475248 0.00671140939597315 0.0273972602739726 0.0252100840336134 0.0260869565217391 0.0309278350515464 0.0277777777777778 0.0461538461538461 0.015625 0.0227272727272727 0 0.0384615384615385 0
"Nek1" 0.00377358490566038 0.052 0.0807174887892377 0.0891089108910891 0.0805369127516778 0.0342465753424658 0.0756302521008403 0.0260869565217391 0.0824742268041237 0.0277777777777778 0.0461538461538462 0.015625 0.0681818181818182 0.1 0.192307692307692 0
"Armc2" 0 0.016 0.00448430493273543 0.0099009900990099 0.0335570469798658 0.0205479452054795 0.00840336134453781 0.0347826086956522 0.0103092783505155 0 0 0 0 0 0 0
