"0" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10"
"Nmnat2" 0 0.0101694915254237 0.00851063829787234 0 0 0 0.00709219858156028 0.0163934426229508 0 0 0.0227272727272727
"Smox" 0.0467289719626168 0.0372881355932203 0.025531914893617 0.074235807860262 0.037914691943128 0.00632911392405063 0.0354609929078014 0.0737704918032787 0.00847457627118644 0.0487804878048781 0.0909090909090909
"Pan3" 0.383177570093458 0.338983050847458 0.31063829787234 0.362445414847162 0.393364928909953 0.822784810126582 0.567375886524823 0.573770491803279 0.915254237288135 0.292682926829268 0.886363636363636
"Gart" 0.180685358255452 0.101694915254237 0.0893617021276596 0.196506550218341 0.137440758293839 0.0506329113924051 0.120567375886525 0.131147540983607 0.152542372881356 0.158536585365854 0.0909090909090909
"Ube2m" 0.242990654205607 0.206779661016949 0.0851063829787234 0.25764192139738 0.246445497630332 0.0253164556962025 0.276595744680851 0.155737704918033 0.161016949152542 0.280487804878049 0.181818181818182
"Agap2" 0.00934579439252336 0 0.0127659574468085 0.00873362445414847 0.00947867298578199 0 0.00709219858156028 0.00819672131147541 0.0254237288135593 0 0.0454545454545454
"2610002M06Rik" 0.0934579439252336 0.0745762711864407 0.0382978723404255 0.0960698689956332 0.0900473933649289 0.0316455696202532 0.127659574468085 0.0901639344262295 0.0423728813559322 0.109756097560976 0.0681818181818182
"Srsf11" 0.672897196261682 0.698305084745763 0.702127659574468 0.764192139737991 0.748815165876777 0.936708860759494 0.794326241134752 0.704918032786885 0.457627118644068 0.841463414634146 0.568181818181818
"Atp5h" 3.59813084112149 2.75932203389831 2.45106382978723 3.04366812227074 3.32227488151659 2.30379746835443 2.6241134751773 1.71311475409836 2.32203389830508 3.21951219512195 3
"Cd34" 0.0467289719626168 0.732203389830508 0.119148936170213 0.165938864628821 0.118483412322275 0.0886075949367089 0.432624113475177 0.467213114754098 0.127118644067797 0.219512195121951 0.204545454545455
"Ubn2" 0.205607476635514 0.233898305084746 0.119148936170213 0.179039301310044 0.270142180094787 0.069620253164557 0.312056737588652 0.39344262295082 0.161016949152542 0.195121951219512 0.159090909090909
"Atp11b" 0.180685358255452 0.169491525423729 0.051063829787234 0.104803493449782 0.180094786729858 0.278481012658228 0.127659574468085 0.163934426229508 0.152542372881356 0.231707317073171 0.136363636363636
"Arhgef39" 0.0280373831775701 0.0169491525423729 0.025531914893617 0.0262008733624454 0.018957345971564 0 0 0.00819672131147541 0 0.0365853658536585 0.0227272727272727
"CAAA01147332.1" 0.0124610591900312 0.0305084745762712 0.00851063829787234 0.00873362445414847 0.014218009478673 0 0.0354609929078014 0.0163934426229508 0.0254237288135593 0.024390243902439 0.0227272727272727
"Drosha" 0.0965732087227414 0.0779661016949153 0.0127659574468085 0.074235807860262 0.132701421800948 0.0253164556962025 0.0921985815602837 0.0901639344262295 0.0254237288135593 0.121951219512195 0.0909090909090909
"Pign" 0.0809968847352025 0.105084745762712 0.051063829787234 0.0786026200873362 0.0710900473933649 0.158227848101266 0.0921985815602837 0.114754098360656 0.0677966101694915 0.0609756097560976 0.0454545454545455
"Mtx3" 0.0155763239875389 0.0305084745762712 0 0.0262008733624454 0.023696682464455 0 0.0212765957446809 0.0573770491803279 0.00847457627118644 0 0
"Tgfbrap1" 0.0311526479750779 0.0338983050847458 0.00851063829787234 0.0524017467248908 0.028436018957346 0.0253164556962025 0.0638297872340425 0.0327868852459016 0.0254237288135593 0.0487804878048781 0.0681818181818182
"Csf2ra" 0.0529595015576324 0.0949152542372881 0.0723404255319149 0.0567685589519651 0.0473933649289099 0.0632911392405063 0.0851063829787234 0.0655737704918033 0.0508474576271186 0.109756097560976 0.0454545454545455
"Acp2" 0.137071651090343 0.135593220338983 0.0723404255319149 0.122270742358079 0.109004739336493 0 0.148936170212766 0.172131147540984 0.0254237288135593 0.109756097560976 0.0681818181818182
"Ttll1" 0.149532710280374 0.0542372881355932 0.102127659574468 0.117903930131004 0.0758293838862559 0.0506329113924051 0.120567375886525 0.188524590163934 0.110169491525424 0.109756097560976 0.0909090909090909
"Ank3" 0.00623052959501558 0.0135593220338983 0.0212765957446809 0.0305676855895196 0.028436018957346 0.0253164556962025 0.0851063829787234 0.0163934426229508 0.00847457627118644 0.024390243902439 0.0227272727272727
"Ythdf3" 0.190031152647975 0.0949152542372881 0.0553191489361702 0.135371179039301 0.170616113744076 0.0253164556962025 0.113475177304965 0.155737704918033 0.144067796610169 0.24390243902439 0.159090909090909
