"0" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14"
"Zfp638" 0.11522633744856 0.116022099447514 0.109324758842444 0.0769230769230769 0.0981818181818182 0.0547945205479452 0.0904255319148936 0.0903954802259887 0.1 0.0982142857142857 0.173913043478261 0.0925925925925926 0.0277777777777778 0.0588235294117647 0.09375
"Dohh" 0.0843621399176955 0.0635359116022099 0.0514469453376206 0.107023411371237 0.0254545454545455 0.0182648401826484 0.111702127659574 0.0734463276836158 0.138461538461538 0.0625 0.072463768115942 0.0925925925925926 0.0555555555555556 0.117647058823529 0.0625
"Ctc1" 0.0267489711934156 0.0414364640883978 0.0643086816720257 0.0568561872909699 0.0327272727272727 0.0410958904109589 0.0212765957446809 0.0169491525423729 0.107692307692308 0.0267857142857143 0.0434782608695652 0 0.0277777777777778 0 0.0625
"Plcb4" 0 0.00552486187845304 0.00321543408360129 0.00334448160535117 0.00363636363636364 0.0091324200913242 0.0159574468085106 0 0.0230769230769231 0.0625 0.0579710144927536 0 0 0.0294117647058824 0.03125
"Lrig3" 0 0.00276243093922652 0.00643086816720257 0.0133779264214047 0.00363636363636364 0 0 0 0 0.00892857142857143 0.0144927536231884 0 0 0.0294117647058824 0.03125
"Trak1" 0.0267489711934156 0.0497237569060773 0.0321543408360129 0.0635451505016722 0.0218181818181818 0.0410958904109589 0.074468085106383 0.0282485875706215 0.0923076923076923 0.0178571428571429 0.0144927536231884 0.0555555555555556 0 0.0882352941176471 0.03125
"Smarcc1" 0.0329218106995885 0.0386740331491713 0.0836012861736334 0.0434782608695652 0.0618181818181818 0.0365296803652968 0.0638297872340425 0.0395480225988701 0.469230769230769 0.0267857142857143 0.0869565217391304 0.0740740740740741 0.0555555555555555 0.0588235294117647 0
"Endov" 0.0226337448559671 0.0193370165745856 0.0289389067524116 0.00334448160535117 0.0254545454545455 0.0228310502283105 0.0212765957446809 0.0282485875706215 0.0538461538461538 0.0267857142857143 0.0434782608695652 0.0555555555555556 0 0.0294117647058824 0
"Ipmk" 0.0452674897119342 0.0386740331491713 0.0128617363344051 0.0468227424749164 0.0290909090909091 0.0410958904109589 0.0265957446808511 0.00564971751412429 0.0461538461538462 0.428571428571429 0.101449275362319 0.0555555555555556 0.0555555555555555 0.117647058823529 0.125
"Stxbp4" 0.0123456790123457 0.00828729281767956 0.0321543408360129 0.00668896321070234 0.0145454545454545 0.0365296803652968 0 0.0395480225988701 0.0461538461538462 0.0535714285714286 0.072463768115942 0 0 0.0588235294117647 0
"Adam33" 0.00411522633744856 0.0110497237569061 0.00321543408360129 0.0936454849498328 0 0 0 0 0 0 0 0 0 0 0
"Ncoa2" 0.0679012345679012 0.11878453038674 0.0803858520900321 0.0802675585284281 0.0727272727272727 0.0730593607305936 0.0425531914893617 0.0790960451977401 0.0923076923076923 0.1875 0.144927536231884 0.0185185185185185 0.0277777777777778 0.117647058823529 0.09375
"Tcp11" 0.00411522633744856 0 0.00643086816720257 0.00668896321070234 0 0 0.0106382978723404 0 0 0 0 0 0 0.0294117647058824 0
"Ccdc137" 0.0329218106995885 0.0303867403314917 0.0546623794212219 0.0267558528428094 0.0181818181818182 0.0547945205479452 0 0.0451977401129943 0.0769230769230769 0.0446428571428571 0.0289855072463768 0.0185185185185185 0 0 0.03125
"Mapre3" 0.00205761316872428 0.00828729281767956 0 0.0100334448160535 0.00727272727272727 0 0.0212765957446809 0 0.00769230769230769 0.0357142857142857 0.0144927536231884 0.0185185185185185 0 0 0.03125
"Frmd4a" 0.0637860082304527 0.129834254143646 0.115755627009646 0.147157190635451 0.0872727272727273 0.136986301369863 0.154255319148936 0.0508474576271186 0.0923076923076923 0.0982142857142857 0.202898550724638 0.0555555555555556 0 0.0882352941176471 0.25
"Atp6v0a2" 0.0246913580246914 0.0662983425414365 0.0610932475884244 0.0301003344481605 0.0727272727272727 0.045662100456621 0.0531914893617021 0.0225988700564972 0.115384615384615 0.0357142857142857 0.0144927536231884 0.0555555555555556 0 0.0294117647058824 0.125
