"0" "1" "2" "3" "4" "5" "6" "7" "8"
"Adam33" 0.0604026845637584 0.0156862745098039 0.00775193798449612 0 0.0337078651685393 0 0.0943396226415094 0 0.545454545454545
"Ncoa2" 0.0738255033557047 0.0392156862745098 0.0930232558139535 0.010989010989011 0.0337078651685393 0.0363636363636364 0.169811320754717 0 0.181818181818182
"Fgf12" 0 0 0.00775193798449612 0.032967032967033 0 0 0 0 0
"Ccdc137" 0.0469798657718121 0.0392156862745098 0.0697674418604651 0.0549450549450549 0.0337078651685393 0 0.132075471698113 0.0555555555555555 0.0909090909090909
"Mapre3" 0.0503355704697987 0.0156862745098039 0.10077519379845 0.0659340659340659 0.0449438202247191 0.127272727272727 0 0.0833333333333333 0.0909090909090909
"Frmd4a" 0.0469798657718121 0.00392156862745098 0.0542635658914729 0.0989010989010989 0.112359550561798 0 0.150943396226415 0 0
"Atp6v0a2" 0.0402684563758389 0.0156862745098039 0.131782945736434 0.0769230769230769 0.0337078651685393 0.0727272727272727 0 0.0555555555555556 0
"Dlg1" 0.0536912751677852 0.0352941176470588 0.062015503875969 0.0659340659340659 0.0112359550561798 0.0363636363636364 0 0.0833333333333333 0
"Txlna" 0.0704697986577181 0.0784313725490196 0.0775193798449612 0.120879120879121 0.0561797752808989 0.145454545454545 0.0754716981132075 0.0277777777777778 0.0909090909090909
"Inpp4a" 0.157718120805369 0.0313725490196078 0.201550387596899 0.197802197802198 0.269662921348315 0.218181818181818 0.377358490566038 0.166666666666667 0.0909090909090909
"Ralgps1" 0 0 0.0155038759689922 0 0.0449438202247191 0.0181818181818182 0 0.0277777777777778 0
"Gm7670" 0.00671140939597315 0.0117647058823529 0 0 0.0337078651685393 0 0 0 0
"Ccdc114" 0.063758389261745 0.0313725490196078 0.131782945736434 0.0879120879120879 0.0337078651685393 0.0727272727272727 0.0566037735849057 0.0833333333333333 0.0909090909090909
"Eml2" 0.0436241610738255 0.0235294117647059 0.0387596899224806 0.0549450549450549 0.0224719101123595 0.0545454545454545 0.0377358490566038 0.0555555555555556 0.363636363636364
"Pfdn6" 0.161073825503356 0.149019607843137 0.170542635658915 0.164835164835165 0.123595505617978 0.163636363636364 0.0188679245283019 0.138888888888889 0.181818181818182
"Cep128" 0.0134228187919463 0.00392156862745098 0.0155038759689922 0.032967032967033 0.0112359550561798 0 0 0 0
"Nek1" 0.0302013422818792 0.0156862745098039 0.0542635658914729 0.010989010989011 0.0112359550561798 0 0.0754716981132075 0.0277777777777778 0.0909090909090909
"Armc2" 0.0201342281879195 0 0.0155038759689922 0 0 0.0181818181818182 0.0943396226415094 0 0
