"0" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "17" "18" "19"
"Ssbp2" 0.0117762512266928 0.0062111801242236 0.0050761421319797 0.0135396518375242 0.00831024930747922 0.0112994350282486 0.00303030303030303 0.00613496932515337 0.0230414746543779 0.0104712041884817 0.0106951871657754 0.00584795321637427 0.0125786163522013 0.0130718954248366 0 0.027027027027027 0.0365853658536585 0.0196078431372549 0.0666666666666667 0.0769230769230769
"2410002F23Rik" 0.00294406280667321 0.00248447204968944 0.00846023688663283 0.00193423597678917 0.00831024930747922 0.00564971751412429 0.00303030303030303 0.00306748466257669 0.00460829493087558 0 0 0 0.00628930817610063 0 0 0 0 0 0 0
"Josd2" 0.00294406280667321 0.022360248447205 0.011844331641286 0.00580270793036751 0.0193905817174515 0.0169491525423729 0.0242424242424242 0.0306748466257669 0.00921658986175115 0 0.0160427807486631 0.0175438596491228 0.0188679245283019 0.0196078431372549 0 0.018018018018018 0.024390243902439 0.0196078431372549 0 0
"Tcf3" 0.00196270853778214 0.00248447204968944 0.00676818950930626 0.00773694390715667 0.00831024930747922 0.00564971751412429 0.00303030303030303 0.00613496932515337 0.00460829493087558 0.0157068062827225 0.0053475935828877 0.00584795321637427 0.050314465408805 0 0.00819672131147541 0 0.024390243902439 0.0196078431372549 0.0222222222222222 0
"Atf2" 0.00785083415112856 0.0124223602484472 0.0101522842639594 0.0154738878143133 0.0221606648199446 0.0112994350282486 0.0181818181818182 0.0153374233128834 0.0184331797235023 0.00523560209424084 0 0.0116959064327485 0.0251572327044025 0.0130718954248366 0.0245901639344262 0 0.0121951219512195 0 0 0.0384615384615385
"Togaram1" 0.00785083415112856 0.00745341614906832 0.0050761421319797 0.011605415860735 0.00277008310249307 0.00564971751412429 0.0151515151515152 0.00306748466257669 0 0.00523560209424084 0.0106951871657754 0.0116959064327485 0 0 0.00819672131147541 0 0 0 0 0.0384615384615385
"Ankrd33b" 0.00294406280667321 0.00124223602484472 0 0 0.0110803324099723 0.00847457627118644 0.00606060606060606 0.00306748466257669 0.00460829493087558 0 0 0 0 0 0 0 0 0 0 0
"Hjurp" 0.0098135426889107 0.0111801242236025 0.00338409475465313 0.0154738878143133 0.0138504155124654 0.00847457627118644 0.00909090909090909 0.0122699386503067 0.00460829493087558 0.0157068062827225 0.0053475935828877 0.00584795321637427 0.113207547169811 0 0 0.00900900900900901 0.0609756097560976 0 0 0
"Sema4d" 0.00196270853778214 0.00745341614906832 0.0152284263959391 0.011605415860735 0.00277008310249307 0.0169491525423729 0 0.0153374233128834 0.00921658986175115 0.00523560209424084 0.0053475935828877 0 0 0.0065359477124183 0 0.00900900900900901 0 0 0 0
"Ikzf2" 0.0098135426889107 0.00745341614906832 0.0050761421319797 0.0154738878143133 0.0249307479224377 0.00847457627118644 0.00909090909090909 0.00613496932515337 0.00460829493087558 0.00523560209424084 0 0.00584795321637427 0.00628930817610063 0 0.0245901639344262 0 0.0121951219512195 0 0 0
