"0" "1" "2" "3" "4" "5" "6" "7" "8" "9"
"Ncoa2" 0.0942528735632184 0.0433333333333333 0.0778210116731518 0.107843137254902 0.0601092896174863 0.0807453416149068 0.0201342281879195 0.089041095890411 0.096 0.0588235294117647
"Tcp11" 0.00459770114942529 0 0 0 0 0.0124223602484472 0.0268456375838926 0 0 0
"Ccdc137" 0.0666666666666667 0.02 0.0583657587548638 0.0637254901960784 0.109289617486339 0.0745341614906832 0.0201342281879195 0.123287671232877 0.088 0.0147058823529412
"Mapre3" 0.245977011494253 0.103333333333333 0.194552529182879 0.0686274509803921 0.289617486338798 0.22360248447205 0.0671140939597315 0.226027397260274 0.248 0.176470588235294
"Frmd4a" 0.0873563218390805 0.03 0.0700389105058366 0.156862745098039 0.0546448087431694 0.0745341614906832 0.167785234899329 0.0616438356164384 0.08 0.308823529411765
"Atp6v0a2" 0.144827586206897 0.0666666666666667 0.105058365758755 0.053921568627451 0.103825136612022 0.130434782608696 0.0335570469798658 0.0958904109589041 0.12 0.0735294117647059
"Dlg1" 0.0988505747126437 0.0266666666666667 0.101167315175097 0.0441176470588235 0.0819672131147541 0.0683229813664596 0.0201342281879195 0.0753424657534247 0.096 0.117647058823529
"Txlna" 0.172413793103448 0.09 0.163424124513619 0.122549019607843 0.153005464480874 0.167701863354037 0.10738255033557 0.232876712328767 0.16 0.132352941176471
"Higd1b" 0.00689655172413793 0 0 0.0147058823529412 0.00546448087431694 0 0 0 0 2.79411764705882
"Inpp4a" 0.931034482758621 1.49333333333333 0.961089494163424 1.88235294117647 0.934426229508197 1.75155279503106 1.84563758389262 0.97945205479452 0.944 0.470588235294118
"Ralgps1" 0.0137931034482759 0.00666666666666667 0.0311284046692607 0.0196078431372549 0.0109289617486339 0.0124223602484472 0 0.0136986301369863 0 0.0588235294117647
"Olfr535" 0 0 0.00389105058365759 0.0147058823529412 0 0 0 0.00684931506849315 0.008 0
"Ccdc114" 0.135632183908046 0.17 0.147859922178988 0.137254901960784 0.0710382513661202 0.118012422360248 0.241610738255034 0.157534246575342 0.112 0.132352941176471
"Eml2" 0.636781609195402 0.383333333333333 0.529182879377432 0.509803921568627 0.502732240437158 0.571428571428571 0.140939597315436 0.308219178082192 0.528 0.117647058823529
"Pfdn6" 0.517241379310345 0.116666666666667 0.509727626459144 0.0980392156862745 0.530054644808743 0.372670807453416 0.100671140939597 0.287671232876712 0.352 0.338235294117647
"Cep128" 0.0252873563218391 0.0133333333333333 0.00778210116731518 0.00980392156862745 0.0273224043715847 0.0372670807453416 0.0402684563758389 0.0410958904109589 0.04 0
"Nek1" 0.0689655172413793 0.0633333333333333 0.0856031128404669 0.0196078431372549 0.109289617486339 0.093167701863354 0.0201342281879195 0.0958904109589041 0.08 0.0294117647058824
"Armc2" 0.0436781609195402 0.0166666666666667 0.0505836575875486 0.0147058823529412 0.0163934426229508 0.0124223602484472 0 0.0753424657534247 0.064 0.0294117647058824
"Ccar2" 0.0298850574712644 0.03 0.0116731517509728 0.0196078431372549 0.0437158469945355 0.031055900621118 0.0134228187919463 0.0753424657534247 0.016 0.0147058823529412
"Pex12" 0.0551724137931034 0.00666666666666667 0.066147859922179 0.00490196078431373 0.0327868852459016 0.031055900621118 0 0.0410958904109589 0.04 0.0294117647058824
"Phf3" 0.211494252873563 0.0566666666666667 0.291828793774319 0.107843137254902 0.202185792349727 0.118012422360248 0.114093959731544 0.226027397260274 0.208 0.176470588235294
"Sox8" 0.0252873563218391 0.01 0.0622568093385214 0.0343137254901961 0.0273224043715847 0.031055900621118 0.0201342281879195 0.0205479452054795 0.048 0.0147058823529412
"Pcbp2" 0.241379310344828 0.06 0.252918287937743 0.117647058823529 0.202185792349727 0.204968944099379 0.147651006711409 0.246575342465753 0.208 0.132352941176471
"Golph3" 0.377011494252874 0.113333333333333 0.381322957198444 0.122549019607843 0.459016393442623 0.31055900621118 0.0805369127516778 0.561643835616438 0.4 0.308823529411765
"Tnnt2" 0.795402298850575 1.79333333333333 5.56420233463035 1.59803921568627 10.7650273224044 2.18633540372671 1.86577181208054 10.541095890411 0.344 0.426470588235294
"Ankrd13d" 0.0252873563218391 0.02 0.0233463035019455 0.0147058823529412 0.0327868852459016 0.0186335403726708 0 0.0136986301369863 0.024 0
"Luc7l3" 0.409195402298851 0.14 0.350194552529183 0.176470588235294 0.382513661202186 0.279503105590062 0.087248322147651 0.26027397260274 0.296 0.308823529411765
"Ypel3" 1.06896551724138 1.20333333333333 0.953307392996109 1.00980392156863 0.918032786885246 0.919254658385093 1.16778523489933 1.04794520547945 1.16 0.985294117647059
"Mapk8" 0.103448275862069 0.0933333333333333 0.182879377431907 0.151960784313725 0.0819672131147541 0.118012422360248 0.114093959731544 0.178082191780822 0.176 0.161764705882353
"Dlg2" 0.0298850574712644 0.03 0.108949416342412 0.0343137254901961 0.120218579234973 0.031055900621118 0 0.0958904109589041 0.008 0
"Amn1" 0.167816091954023 0.05 0.143968871595331 0.269607843137255 0.12568306010929 0.180124223602484 0.23489932885906 0.178082191780822 0.104 0.176470588235294
"Prss23" 1.80459770114943 1.53 1.30350194552529 1.38235294117647 2.41530054644809 1.80745341614907 1.49664429530201 1.16438356164384 1.408 1.86764705882353
"Ccdc22" 0.00919540229885057 0 0.00389105058365759 0 0.00546448087431694 0 0 0.0205479452054795 0.008 0
"Pgap3" 0.0275862068965517 0.0133333333333333 0.0155642023346303 0.00490196078431373 0 0.0062111801242236 0 0.0136986301369863 0.008 0.0147058823529412
"Mcm3ap" 0.0689655172413793 0.0266666666666667 0.0233463035019455 0.0686274509803921 0.0491803278688525 0.0434782608695652 0.0134228187919463 0.0547945205479452 0.032 0
"Apon" 0.00229885057471264 0 0.00389105058365759 0 0.0109289617486339 0 0.0201342281879195 0 0 0
"Znhit6" 0.128735632183908 0.04 0.116731517509728 0.0196078431372549 0.136612021857923 0.0807453416149068 0 0.178082191780822 0.176 0.0735294117647059
"Ndufb5" 1.08965517241379 0.863333333333333 1.09727626459144 0.642156862745098 1.08743169398907 0.795031055900621 1 1.0958904109589 0.936 0.838235294117647
"Ramp2" 0.00459770114942529 0 0 0 0.0163934426229508 0 0 0.171232876712329 0 0.161764705882353
