"0" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12"
"Mcmbp" 0.117647058823529 0.318181818181818 0.333333333333333 0.28125 0.352272727272727 0.380952380952381 0.304347826086957 0.411764705882353 0.170731707317073 0.435897435897436 0.282051282051282 0.5 0.72
"Agl" 0.0882352941176471 0.155844155844156 0.212962962962963 0.1875 0.113636363636364 0.214285714285714 0.217391304347826 0.117647058823529 0.0975609756097561 0.153846153846154 0.0769230769230769 0.184210526315789 0.16
"Svil" 0.105882352941176 0.448051948051948 0.435185185185185 0.458333333333333 0.556818181818182 0.25 0.594202898550725 0.0392156862745098 0.268292682926829 0.0769230769230769 0.256410256410256 0.157894736842105 0
"Scn2b" 0.00588235294117647 0.0454545454545454 0.00925925925925926 0.104166666666667 0.0909090909090909 0.0833333333333333 0.144927536231884 0.0196078431372549 0 0.0512820512820513 0.0769230769230769 0 0.08
"Myo5a" 0.111764705882353 0.0649350649350649 0.212962962962963 0.229166666666667 0.0909090909090909 0.0833333333333333 0.144927536231884 0.117647058823529 0.0487804878048781 0.974358974358974 0.0512820512820513 0.0263157894736842 0.08
"Sppl3" 0.111764705882353 0.142857142857143 0.148148148148148 0.145833333333333 0.125 0.166666666666667 0.202898550724638 0.196078431372549 0.195121951219512 0.153846153846154 0.282051282051282 0.0526315789473684 0.2
"Zfp638" 0.0882352941176471 0.175324675324675 0.166666666666667 0.197916666666667 0.170454545454545 0.0476190476190476 0.231884057971014 0.117647058823529 0.195121951219512 0.256410256410256 0.102564102564103 0.236842105263158 0.12
"Dohh" 0.141176470588235 0.188311688311688 0.25 0.28125 0.204545454545455 0.0238095238095238 0.231884057971014 0.274509803921569 0.268292682926829 0.282051282051282 0.358974358974359 0.289473684210526 0.08
"Ctc1" 0 0.038961038961039 0.0740740740740741 0.0208333333333333 0.0454545454545454 0 0.0869565217391304 0.0588235294117647 0 0.128205128205128 0.0512820512820513 0.0526315789473684 0
"Plcb4" 0.0529411764705882 0.103896103896104 0.0555555555555556 0.15625 0.227272727272727 0 0.130434782608696 0 0.341463414634146 0 0.128205128205128 0.526315789473684 0
"Lrig3" 0.0411764705882353 0.0909090909090909 0.111111111111111 0.1875 0.193181818181818 0 0.0289855072463768 0 0 0 0.0512820512820513 0 0
"Trak1" 0.0529411764705882 0.188311688311688 0.148148148148148 0.09375 0.113636363636364 0.178571428571429 0.144927536231884 0.0392156862745098 0.0731707317073171 0.102564102564103 0.102564102564103 0.0789473684210526 0.04
"Smarcc1" 0.0588235294117647 0.194805194805195 0.185185185185185 0.177083333333333 0.193181818181818 0.0357142857142857 0.304347826086957 0.411764705882353 0.0975609756097561 0.230769230769231 0.153846153846154 0.131578947368421 0.12
"Endov" 0.0235294117647059 0.012987012987013 0.0925925925925926 0.0416666666666667 0.0795454545454545 0.0952380952380952 0.0579710144927536 0.0784313725490196 0.0731707317073171 0 0.0256410256410256 0 0.04
"Ipmk" 0.0352941176470588 0.0974025974025974 0.0555555555555556 0.0833333333333333 0.0909090909090909 0.0357142857142857 0.072463768115942 0.0588235294117647 0.0975609756097561 0.256410256410256 0.102564102564103 0.0526315789473684 0
"Stxbp4" 0.0352941176470588 0.142857142857143 0.0925925925925926 0.177083333333333 0.136363636363636 0.0714285714285714 0.130434782608696 0.0980392156862745 0.0487804878048781 0.0256410256410256 0.0769230769230769 0.0789473684210526 0.04
"Adam33" 0.0470588235294118 0.051948051948052 0.12037037037037 0.0416666666666667 0.0568181818181818 0.0714285714285714 0.0289855072463768 0 0 0.282051282051282 0 0 0.2
"Ncoa2" 0.0470588235294118 0.0844155844155844 0.185185185185185 0.1875 0.125 0.0714285714285714 0.130434782608696 0.0392156862745098 0.0487804878048781 0.153846153846154 0.128205128205128 0 0.08
"Tcp11" 0.00588235294117647 0.00649350649350649 0.0185185185185185 0 0 0 0 0.0196078431372549 0 0 0 0 0
"Fgf12" 0.0176470588235294 0.00649350649350649 0.00925925925925926 0 0.0113636363636364 0 0 0 0 0 0 0 0
"Ccdc137" 0.0235294117647059 0.0714285714285714 0.0462962962962963 0.0833333333333333 0.147727272727273 0.0595238095238095 0.0869565217391304 0.0784313725490196 0.170731707317073 0.0256410256410256 0.0512820512820513 0.0789473684210526 0.04
"Mapre3" 0.0588235294117647 0.0584415584415584 0.101851851851852 0.177083333333333 0.147727272727273 0 0.231884057971014 0.0196078431372549 0.0975609756097561 0 0.0256410256410256 0 0
"Frmd4a" 0.117647058823529 0.175324675324675 0.157407407407407 0.09375 0.147727272727273 0.321428571428571 0.202898550724638 0.0980392156862745 0.0487804878048781 0.179487179487179 0.230769230769231 0.210526315789474 0.72
"Atp6v0a2" 0.0529411764705882 0.123376623376623 0.166666666666667 0.239583333333333 0.147727272727273 0.0833333333333333 0.260869565217391 0.156862745098039 0.121951219512195 0.0512820512820513 0.0769230769230769 0.0526315789473684 0.04
"Dlg1" 0.0235294117647059 0.142857142857143 0.0833333333333333 0.104166666666667 0.0909090909090909 0.0357142857142857 0.202898550724638 0.0392156862745098 0.0975609756097561 0.0256410256410256 0.128205128205128 0.0263157894736842 0
"Txlna" 0.135294117647059 0.324675324675325 0.203703703703704 0.270833333333333 0.284090909090909 0.285714285714286 0.231884057971014 0.156862745098039 0.24390243902439 0.179487179487179 0.205128205128205 0.105263157894737 0.12
"Higd1b" 0.176470588235294 0 0 0 0 0 0 0 0 0 0 0 0
"Inpp4a" 0.217647058823529 0.383116883116883 0.259259259259259 0.489583333333333 0.340909090909091 0.428571428571429 0.405797101449275 0.254901960784314 0.51219512195122 0.82051282051282 0.461538461538462 0.710526315789474 0.84
"Ralgps1" 0 0.012987012987013 0.0555555555555556 0.03125 0.0340909090909091 0 0 0.0392156862745098 0.024390243902439 0.0769230769230769 0.102564102564103 0.0263157894736842 0.04
