"0" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "17"
"Acaa1a" 0.115987460815047 0.256603773584906 0.184549356223176 0.288557213930348 0.301507537688442 0.35031847133758 0.13013698630137 0.325757575757576 0.366071428571429 0.1875 0.232876712328767 0.0714285714285714 0.327586206896552 0.333333333333333 0.235294117647059 0.6 0.35 0.421052631578947
"Ydjc" 0.00940438871473354 0.00754716981132075 0.00858369098712446 0.0149253731343284 0.0100502512562814 0 0 0.0151515151515152 0.0178571428571429 0 0 0 0.0172413793103448 0.0526315789473684 0 0.0571428571428571 0 0
"Setd4" 0.0376175548589342 0.0528301886792453 0.0386266094420601 0.0646766169154229 0.0351758793969849 0.0636942675159236 0.0342465753424658 0.0227272727272727 0.0446428571428571 0.0104166666666667 0 0.0571428571428571 0.0689655172413793 0.0526315789473684 0.0392156862745098 0.0285714285714286 0.05 0.157894736842105
"9930021J03Rik" 0 0.060377358490566 0.0214592274678112 0.0447761194029851 0.0452261306532663 0.0509554140127389 0.0273972602739726 0.0606060606060606 0.0446428571428571 0 0.0273972602739726 0.0285714285714286 0.0517241379310345 0.0526315789473684 0.0392156862745098 0.0285714285714286 0 0.105263157894737
"Ubxn4" 0.0940438871473354 0.249056603773585 0.261802575107296 0.278606965174129 0.316582914572864 0.292993630573248 0.191780821917808 0.348484848484848 0.267857142857143 0.104166666666667 0.219178082191781 0.228571428571429 0.310344827586207 0.456140350877193 0.529411764705882 0.542857142857143 0.45 0.368421052631579
"Snap47" 0.0188087774294671 0.207547169811321 0.0214592274678112 0.388059701492537 0.160804020100503 0.178343949044586 0.0753424657534247 0.159090909090909 0.178571428571429 0.0625 0.123287671232877 0 0.0344827586206897 0.368421052631579 0.0196078431372549 0 0.2 0.263157894736842
"Sbf1" 0 0.060377358490566 0.0171673819742489 0.0298507462686567 0.0552763819095477 0.0254777070063694 0 0.0378787878787879 0.0267857142857143 0.0208333333333333 0.0273972602739726 0 0.0517241379310345 0.0526315789473684 0.0784313725490196 0.0571428571428571 0 0
"Ckap5" 0.0250783699059561 0.0716981132075472 0.055793991416309 0.099502487562189 0.0753768844221105 0.0636942675159236 0 0.106060606060606 0.0625 0.0208333333333333 0.0684931506849315 0.0285714285714286 0.0517241379310345 0.0526315789473684 0.0392156862745098 0.0571428571428571 0 0.157894736842105
"Stambp" 0.0438871473354232 0.0641509433962264 0.0429184549356223 0.0298507462686567 0.0753768844221105 0.0955414012738853 0.0342465753424658 0.0984848484848485 0.0714285714285714 0.0416666666666667 0.136986301369863 0.0142857142857143 0.0862068965517241 0.0350877192982456 0.0588235294117647 0.0571428571428571 0.05 0
"Igf2bp1" 0 0.0113207547169811 0.00429184549356223 0 0 0 0 0.00757575757575758 0 0.0416666666666667 0.0136986301369863 0.0285714285714286 0.0172413793103448 0 0 0.0285714285714286 0.05 0
"Fbxo5" 0 0.00377358490566038 0.0128755364806867 0.0199004975124378 0 0 0 0.0303030303030303 0 0 0 0 0 0.0175438596491228 0 0 0 0
"Rnf170" 0.0125391849529781 0.0641509433962264 0.0472103004291845 0.0696517412935323 0.0603015075376884 0.0636942675159236 0.0273972602739726 0.136363636363636 0.0625 0 0.0136986301369863 0 0.0172413793103448 0.0701754385964912 0.0392156862745098 0.0571428571428571 0 0.0526315789473684
"Usp24" 0.00940438871473354 0.0566037735849057 0.0171673819742489 0.0348258706467662 0.0402010050251256 0.0254777070063694 0 0.0454545454545455 0.00892857142857143 0 0.0273972602739726 0.0428571428571429 0.120689655172414 0.140350877192982 0.0588235294117647 0.0571428571428571 0.05 0
"Mcmbp" 0.0407523510971787 0.147169811320755 0.210300429184549 0.199004975124378 0.21105527638191 0.273885350318471 0.253424657534247 0.310606060606061 0.196428571428571 0.15625 0.191780821917808 0.271428571428571 0.120689655172414 0.263157894736842 0.274509803921569 0.285714285714286 0.15 0.263157894736842
"Agl" 0.0219435736677116 0.0490566037735849 0.0729613733905579 0.0845771144278607 0.100502512562814 0.0700636942675159 0.0273972602739726 0.0681818181818182 0.0357142857142857 0.03125 0.0821917808219178 0.128571428571429 0.0862068965517241 0.0526315789473684 0.0784313725490196 0 0 0.210526315789474
"Svil" 0.0626959247648903 0.237735849056604 0.055793991416309 0.233830845771144 0.190954773869347 0.32484076433121 0.0342465753424658 0.204545454545455 0.125 0.0208333333333333 0.383561643835616 0.0857142857142857 0.0172413793103448 0.12280701754386 0.137254901960784 0.0285714285714286 0 0
"Scn2b" 0.0250783699059561 0.00754716981132075 0.00429184549356223 0.099502487562189 0.0301507537688442 0.0318471337579618 0 0.0151515151515152 0.0446428571428571 0 0.0136986301369863 0.0714285714285714 0.0172413793103448 0.0175438596491228 0.0196078431372549 0 0.05 0
"Myo5a" 0.0282131661442006 0.0566037735849057 0.175965665236052 0.0646766169154229 0.050251256281407 0.0254777070063694 0.00684931506849315 0.053030303030303 0.0357142857142857 0.0208333333333333 0.0136986301369863 0.0285714285714286 0.362068965517241 0.0175438596491228 0 0.0571428571428571 0 0.263157894736842
"Sppl3" 0.0250783699059561 0.0943396226415094 0.0858369098712446 0.109452736318408 0.0703517587939698 0.0764331210191083 0.0547945205479452 0.113636363636364 0.0446428571428571 0 0.0547945205479452 0.157142857142857 0.103448275862069 0.087719298245614 0.0784313725490196 0 0 0.210526315789474
"Zfp638" 0.0344827586206896 0.116981132075472 0.0600858369098712 0.099502487562189 0.130653266331658 0.114649681528662 0.00684931506849315 0.0833333333333333 0.0625 0.03125 0.0136986301369863 0.114285714285714 0.120689655172414 0.192982456140351 0.137254901960784 0.0285714285714286 0.1 0.0526315789473684
"Dohh" 0.0752351097178683 0.120754716981132 0.158798283261803 0.154228855721393 0.125628140703518 0.146496815286624 0.0753424657534247 0.234848484848485 0.0982142857142857 0.125 0.191780821917808 0.0285714285714286 0.172413793103448 0.12280701754386 0.0784313725490196 0.0857142857142857 0.2 0.368421052631579
"Ctc1" 0 0.0226415094339623 0.0171673819742489 0.0149253731343284 0.0150753768844221 0.0445859872611465 0 0.0606060606060606 0 0.0208333333333333 0.0273972602739726 0 0.189655172413793 0.0350877192982456 0.0588235294117647 0 0.05 0
"Plcb4" 0.00940438871473354 0.0415094339622641 0 0.109452736318408 0.0552763819095477 0.133757961783439 0.0410958904109589 0.242424242424242 0.0178571428571429 0.0625 0.356164383561644 0.128571428571429 0.0172413793103448 0.105263157894737 0.372549019607843 0 0.05 0.0526315789473684
"Lrig3" 0.00626959247648903 0.0792452830188679 0.00858369098712446 0.0248756218905473 0.0904522613065327 0.121019108280255 0.0205479452054794 0.0378787878787879 0.0357142857142857 0.0208333333333333 0.0273972602739726 0.0714285714285714 0.0172413793103448 0 0 0 0.1 0.0526315789473684
"Trak1" 0.00940438871473354 0.0566037735849057 0.0686695278969957 0.0845771144278607 0.0753768844221105 0.0636942675159236 0.0273972602739726 0.053030303030303 0.0535714285714286 0.104166666666667 0.0684931506849315 0.0714285714285714 0.0344827586206897 0.12280701754386 0 0.0571428571428571 0 0.0526315789473684
"Smarcc1" 0.0219435736677116 0.0528301886792453 0.0472103004291845 0.119402985074627 0.120603015075377 0.0636942675159236 0.047945205479452 0.0681818181818182 0.0267857142857143 0.0208333333333333 0.0273972602739726 0.0285714285714286 0.120689655172414 0.140350877192982 0.0784313725490196 0.0285714285714286 0.1 0.0526315789473684
"Endov" 0.0125391849529781 0.0528301886792453 0.0171673819742489 0.0199004975124378 0.0351758793969849 0.0445859872611465 0 0 0.0714285714285714 0 0.0136986301369863 0 0.0344827586206897 0.0350877192982456 0.0196078431372549 0.0285714285714286 0 0.0526315789473684
"Ipmk" 0.0156739811912226 0.0566037735849057 0.0171673819742489 0.0348258706467662 0.0452261306532663 0.0382165605095541 0.0205479452054795 0.0227272727272727 0.0267857142857143 0 0.0684931506849315 0 0.0344827586206897 0 0.235294117647059 0.0571428571428571 0.05 0.0526315789473684
"Stxbp4" 0.00313479623824451 0.0377358490566038 0.0429184549356223 0.0646766169154229 0.0552763819095477 0.0509554140127389 0 0.0227272727272727 0.0357142857142857 0 0 0 0.0344827586206897 0.0526315789473684 0.0392156862745098 0.0285714285714286 0 0.105263157894737
"Adam33" 0.00940438871473354 0.00754716981132075 0.0214592274678112 0.0199004975124378 0.0703517587939698 0.10828025477707 0 0.0303030303030303 0.00892857142857143 0.0104166666666667 0.0684931506849315 0.142857142857143 0.172413793103448 0.0526315789473684 0 0.0285714285714286 1.3 0
"Ncoa2" 0.0407523510971787 0.060377358490566 0.0343347639484979 0.0447761194029851 0.0402010050251256 0.0445859872611465 0.0410958904109589 0.0454545454545455 0.0446428571428571 0 0.0958904109589041 0.0571428571428571 0.103448275862069 0.0526315789473684 0.0980392156862745 0.0285714285714286 0 0.0526315789473684
"Tcp11" 0 0 0.00429184549356223 0.00497512437810945 0.0050251256281407 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fgf12" 0 0.00377358490566038 0 0.00497512437810945 0 0.00636942675159236 0 0 0 0.0208333333333333 0.0136986301369863 0 0 0.0175438596491228 0 0 0 0
"Ccdc137" 0 0.0339622641509434 0.0214592274678112 0.0298507462686567 0.0552763819095477 0.0445859872611465 0.0479452054794521 0.0909090909090909 0.0535714285714286 0 0.0410958904109589 0.0285714285714286 0.0517241379310345 0.0526315789473684 0.117647058823529 0 0.05 0
"Mapre3" 0.0219435736677116 0.0716981132075472 0.00429184549356223 0.0796019900497512 0.0653266331658292 0.0764331210191083 0.0205479452054794 0.136363636363636 0.116071428571429 0.03125 0.0547945205479452 0.0571428571428571 0 0.087719298245614 0.0980392156862745 0 0.2 0.105263157894737
"Frmd4a" 0.0909090909090909 0.105660377358491 0.553648068669528 0.159203980099502 0.0653266331658292 0.0955414012738854 0.0616438356164384 0.136363636363636 0.0714285714285714 0 0.0958904109589041 0.342857142857143 0.293103448275862 0.280701754385965 0.176470588235294 0.0857142857142857 0.05 0.368421052631579
"Atp6v0a2" 0.0156739811912226 0.113207547169811 0.0643776824034335 0.154228855721393 0.0804020100502513 0.127388535031847 0.0410958904109589 0.106060606060606 0.0982142857142857 0.0729166666666667 0.10958904109589 0.114285714285714 0.0172413793103448 0.12280701754386 0.137254901960784 0.2 0.1 0.105263157894737
"Dlg1" 0 0.0679245283018868 0.0472103004291845 0.0398009950248756 0.0904522613065327 0.0636942675159236 0.0616438356164383 0.0681818181818182 0.0267857142857143 0.0104166666666667 0.0273972602739726 0 0.0172413793103448 0.192982456140351 0.0980392156862745 0 0.15 0.0526315789473684
"Txlna" 0.0313479623824451 0.0830188679245283 0.0600858369098712 0.109452736318408 0.14070351758794 0.146496815286624 0.0205479452054794 0.136363636363636 0.0892857142857143 0.03125 0.0410958904109589 0.0285714285714286 0.0689655172413793 0.0701754385964912 0.156862745098039 0 0.1 0.105263157894737
"Higd1b" 0 0 0 0 0 0 0 0 0 0 0.0136986301369863 0 0 0 0.137254901960784 0 0 0
