"0" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16"
"Ydjc" 0.0184119677790564 0.0183875530410184 0.0164670658682635 0.0168067226890756 0.0293255131964809 0.00694444444444444 0 0.00543478260869565 0.0167597765363128 0 0.0364963503649635 0.0256410256410256 0.0170940170940171 0 0.0869565217391304 0.0689655172413793 0
"Setd4" 0.0230149597238205 0.0254596888260255 0.00598802395209581 0.0224089635854342 0.0381231671554252 0.0104166666666667 0 0.016304347826087 0.0614525139664804 0.0168539325842697 0.0218978102189781 0.00854700854700855 0.0170940170940171 0.0266666666666667 0.0434782608695652 0.0344827586206897 0
"9930021J03Rik" 0.227848101265823 0.181046676096181 0.0538922155688623 0.142857142857143 0.161290322580645 0.0173611111111111 0.0371900826446281 0.239130434782609 0.106145251396648 0.140449438202247 0.0875912408759124 0.0256410256410256 0.0854700854700855 0.0533333333333333 0.282608695652174 0.137931034482759 0.0434782608695652
"Ubxn4" 0.537399309551208 0.483734087694484 0.245508982035928 0.529411764705882 0.565982404692082 0.111111111111111 0.165289256198347 0.472826086956522 0.653631284916201 0.230337078651685 0.802919708029197 0.094017094017094 0.35042735042735 0.613333333333333 0.391304347826087 0.724137931034483 0.0434782608695652
"Snap47" 0.246260069044879 0.265912305516266 0.0598802395209581 0.0224089635854342 0.0234604105571848 0.00694444444444444 0.0165289256198347 0.271739130434783 0.106145251396648 0.050561797752809 0.0145985401459854 0.0256410256410256 0.0769230769230769 0 0.173913043478261 0.172413793103448 0
"Sbf1" 0.0437284234752589 0.0367751060820368 0.00898203592814371 0.0420168067226891 0.0645161290322581 0 0.00826446280991736 0.0815217391304348 0.122905027932961 0.0280898876404494 0.131386861313869 0.00854700854700855 0.0512820512820513 0.04 0.0869565217391304 0.137931034482759 0
"Ckap5" 0.149597238204833 0.115983026874116 0.0553892215568862 0.0504201680672269 0.12316715542522 0.0590277777777778 0.0289256198347107 0.146739130434783 0.0670391061452514 0.0393258426966292 0.0583941605839416 0 0.102564102564103 0.08 0.130434782608696 0.103448275862069 0
"Stambp" 0.0989643268124281 0.0891089108910891 0.0284431137724551 0.0476190476190476 0.06158357771261 0.0104166666666667 0 0.135869565217391 0.0111731843575419 0.101123595505618 0.0948905109489051 0.0598290598290598 0.094017094017094 0.0266666666666667 0.0652173913043478 0.0344827586206897 0
"Igf2bp1" 0.0115074798619102 0.00565770862800566 0 0.0196078431372549 0.0117302052785924 0.00694444444444444 0 0.00543478260869565 0.00558659217877095 0 0.0072992700729927 0 0 0 0.0217391304347826 0 0
"Fbxo5" 0.0115074798619102 0.00424328147100424 0.00149700598802395 0.0112044817927171 0.0146627565982405 0.00694444444444444 0 0.016304347826087 0.0335195530726257 0 0.0072992700729927 0 0 0 0.0217391304347826 0.0344827586206897 0
"Rnf170" 0.093210586881473 0.0664780763790665 0.0269461077844311 0.0280112044817927 0.0410557184750733 0.0104166666666667 0.00413223140495868 0.0706521739130435 0.0391061452513966 0.0617977528089888 0.0291970802919708 0.0512820512820513 0.0256410256410256 0.04 0.130434782608696 0.0689655172413793 0
"Usp24" 0.176064441887227 0.166902404526167 0.0718562874251497 0.142857142857143 0.208211143695015 0.03125 0.012396694214876 0.184782608695652 0.122905027932961 0.050561797752809 0.0875912408759124 0.00854700854700855 0.0769230769230769 0.0266666666666667 0.195652173913043 0.0689655172413793 0
"Mcmbp" 0.220943613348677 0.178217821782178 0.0553892215568862 0.159663865546218 0.205278592375367 0.0590277777777778 0.0619834710743802 0.184782608695652 0.150837988826816 0.0393258426966292 0.299270072992701 0.0427350427350427 0.11965811965812 0.186666666666667 0.239130434782609 0.241379310344828 0
"Agl" 0.0782508630609896 0.0664780763790665 0.0239520958083832 0.0588235294117647 0.06158357771261 0.0173611111111111 0.00826446280991736 0.0869565217391304 0.0558659217877095 0.0449438202247191 0.0364963503649635 0 0.145299145299145 0.08 0.0217391304347826 0.0344827586206897 0
"Svil" 0.590333716915995 0.755304101838755 0.348802395209581 0.187675070028011 0.126099706744868 0.0833333333333333 0.0909090909090909 0.46195652173913 0.145251396648045 0.348314606741573 0.109489051094891 0.0170940170940171 0.52991452991453 0.226666666666667 0.326086956521739 0.206896551724138 0
"Scn2b" 0.0391254315304948 0.00565770862800566 0.0209580838323353 0.00560224089635854 0 0 0 0 0.0279329608938547 0.0337078651685393 0.0072992700729927 0 0 0 0.0434782608695652 0 0
"Myo5a" 0.0747986191024166 0.0891089108910891 0.0149700598802395 0.456582633053221 0.583577712609971 0.0798611111111111 0.0991735537190083 0.103260869565217 0.0223463687150838 0.0449438202247191 0.182481751824818 0.0769230769230769 0.0427350427350427 0.16 0.108695652173913 0.103448275862069 0.0434782608695652
"Sppl3" 0.110471806674338 0.099009900990099 0.0164670658682635 0.0588235294117647 0.126099706744868 0.0138888888888889 0.00413223140495868 0.103260869565217 0.100558659217877 0.0168539325842697 0.0802919708029197 0.00854700854700855 0.0769230769230769 0.0533333333333333 0.0652173913043478 0.103448275862069 0
"Zfp638" 0.296892980437284 0.28005657708628 0.0958083832335329 0.196078431372549 0.222873900293255 0.0416666666666667 0.0619834710743802 0.358695652173913 0.256983240223464 0.213483146067416 0.27007299270073 0 0.170940170940171 0.16 0.239130434782609 0.413793103448276 0
"Dohh" 0.153049482163406 0.178217821782178 0.0823353293413174 0.11484593837535 0.143695014662757 0.0243055555555556 0.0619834710743802 0.16304347826087 0.0614525139664804 0.0224719101123595 0.145985401459854 0.0256410256410256 0.367521367521367 0.0933333333333333 0.260869565217391 0.206896551724138 0
"Ctc1" 0.0310701956271577 0.0353606789250354 0.0164670658682635 0.0728291316526611 0.0791788856304985 0.00347222222222222 0.00413223140495868 0.0597826086956522 0.0111731843575419 0.00561797752808989 0.0364963503649635 0 0.0341880341880342 0.0533333333333333 0.0434782608695652 0 0
"Plcb4" 0.237054085155351 0.246110325318246 0.0553892215568862 0.00280112044817927 0.0263929618768328 0.00347222222222222 0.0165289256198347 0.298913043478261 0.11731843575419 0.117977528089888 0.0145985401459854 0.0512820512820513 0.854700854700855 0 0.195652173913043 0.586206896551724 0
"Lrig3" 0.162255466052934 0.185289957567185 0.0419161676646707 0.0112044817927171 0.00879765395894428 0 0 0.135869565217391 0.0111731843575419 0.101123595505618 0.0072992700729927 0 0.0598290598290598 0 0.0869565217391304 0.0344827586206897 0.0434782608695652
"Trak1" 0.095512082853855 0.0650636492220651 0.0239520958083832 0.123249299719888 0.111436950146628 0.0381944444444444 0.0165289256198347 0.0760869565217391 0.0223463687150838 0.0561797752808989 0.109489051094891 0.0170940170940171 0.111111111111111 0.0933333333333333 0.0869565217391304 0.0689655172413793 0
"Smarcc1" 0.109321058688147 0.0806223479490806 0.031437125748503 0.092436974789916 0.143695014662757 0.0347222222222222 0.0247933884297521 0.190217391304348 0.0893854748603352 0.0280898876404494 0.153284671532847 0.0854700854700855 0.102564102564103 0.0533333333333333 0.0652173913043478 0.172413793103448 0
"Endov" 0.0437284234752589 0.0297029702970297 0.00449101796407186 0.0112044817927171 0.0117302052785924 0 0.00413223140495868 0.0434782608695652 0.0837988826815642 0.0112359550561798 0.0437956204379562 0.00854700854700855 0.0683760683760684 0.0133333333333333 0.0652173913043478 0 0
"Ipmk" 0.0299194476409666 0.0297029702970297 0.00149700598802395 0.100840336134454 0.111436950146628 0.0520833333333333 0.0413223140495868 0.0543478260869565 0.150837988826816 0.050561797752809 0.109489051094891 0.00854700854700855 0.0769230769230769 0.12 0.0217391304347826 0.0689655172413793 0
"Stxbp4" 0.0552359033371692 0.0523338048090523 0.031437125748503 0.00840336134453781 0.0175953079178886 0 0.012396694214876 0.0706521739130435 0.0223463687150838 0.0337078651685393 0.0072992700729927 0.00854700854700855 0.0170940170940171 0 0.0652173913043478 0 0
"Adam33" 0.11277330264672 0.124469589816124 0.0164670658682635 0.145658263305322 0.302052785923754 0.00694444444444444 0.00826446280991736 0.434782608695652 0.0111731843575419 0.106741573033708 0.0291970802919708 0 0.307692307692308 0 0.0869565217391304 0 0
"Ncoa2" 0.0989643268124281 0.0792079207920792 0.0284431137724551 0.159663865546218 0.202346041055718 0.0347222222222222 0.0330578512396694 0.114130434782609 0.268156424581006 0.0955056179775281 0.18978102189781 0.00854700854700855 0.0427350427350427 0.186666666666667 0.0652173913043478 0.137931034482759 0
"Fgf12" 0.00690448791714614 0.00707213578500707 0 0.00560224089635854 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ccdc137" 0.0356731875719217 0.0297029702970297 0.00598802395209581 0.0280112044817927 0.0175953079178886 0 0.012396694214876 0.016304347826087 0.0279329608938547 0 0.0072992700729927 0.0170940170940171 0.0256410256410256 0 0.0434782608695652 0.0344827586206897 0
"Mapre3" 0.0828538550057537 0.0763790664780764 0.0134730538922156 0.0280112044817927 0.0263929618768328 0.0173611111111111 0.0165289256198347 0.0869565217391304 0.0279329608938547 0.0337078651685393 0 0 0.153846153846154 0 0.0869565217391304 0.0689655172413793 0
"Frmd4a" 0.192174913693901 0.0735502121640736 0.0329341317365269 0.218487394957983 0.234604105571847 0.03125 0.012396694214876 0.0380434782608696 0.128491620111732 0.0337078651685393 0.211678832116788 0.0170940170940171 0.094017094017094 0.106666666666667 0.0434782608695652 0.206896551724138 0
"Atp6v0a2" 0.216340621403913 0.166902404526167 0.0883233532934132 0.0784313725490196 0.0733137829912024 0.0520833333333333 0.0165289256198347 0.179347826086957 0.111731843575419 0.0730337078651685 0.218978102189781 0.0427350427350427 0.170940170940171 0.106666666666667 0.217391304347826 0.0689655172413793 0
