"0" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15"
"Rnf170" 0.0305084745762712 0.00881834215167548 0.0194003527336861 0.0189753320683112 0.0220264317180617 0.0139211136890951 0.019047619047619 0.0072463768115942 0.024330900243309 0.0282776349614396 0.0194986072423398 0.0172413793103448 0 0.00518134715025907 0.025 0.0357142857142857
"Usp24" 0.0423728813559322 0.0194003527336861 0.0670194003527337 0.0550284629981025 0.0881057268722467 0.0556844547563805 0.0476190476190476 0.0072463768115942 0.0608272506082725 0.0334190231362468 0.0417827298050139 0.0482758620689655 0.0159362549800797 0.0310880829015544 0.0375 0.0892857142857143
"Mcmbp" 0.0983050847457627 0.104056437389771 0.104056437389771 0.121442125237192 0.140969162995595 0.0788863109048724 0.080952380952381 0.00966183574879227 0.131386861313869 0.110539845758355 0.20891364902507 0.231034482758621 0.0398406374501992 0.207253886010363 0.2625 0.142857142857143
"Agl" 0.0389830508474576 0.0493827160493827 0.0299823633156966 0.0360531309297913 0.0638766519823789 0.0348027842227378 0.05 0 0.0437956204379562 0.051413881748072 0.0334261838440111 0.0379310344827586 0.0358565737051793 0.0103626943005181 0.06875 0.0357142857142857
"Svil" 0.0864406779661017 0.0899470899470899 0.0899470899470899 0.0834914611005693 0.0484581497797357 0.0626450116009281 0.0452380952380952 0.00966183574879227 0.0827250608272506 0.06426735218509 0.0779944289693593 0.220689655172414 0 0.0518134715025907 0.0875 0.0535714285714286
"Scn2b" 0 0.0141093474426808 0.0158730158730159 0.00189753320683112 0.0066079295154185 0.0139211136890951 0.00714285714285714 0 0 0.0025706940874036 0.00835654596100279 0.0275862068965517 0 0 0.0125 0
"Myo5a" 0.122033898305085 0.121693121693122 0.192239858906526 0.189753320683112 0.306167400881057 0.139211136890951 0.24047619047619 0.0314009661835749 0.291970802919708 0.12853470437018 0.161559888579387 0.179310344827586 0 0.113989637305699 0.18125 0.125
"Sppl3" 0.0305084745762712 0.0405643738977072 0.0687830687830688 0.0379506641366224 0.0859030837004405 0.0788863109048724 0.0738095238095238 0 0.0462287104622871 0.0411311053984576 0.0724233983286908 0.0758620689655172 0.0358565737051793 0.0569948186528497 0.06875 0.0892857142857143
"Zfp638" 0.0864406779661017 0.0687830687830688 0.0952380952380952 0.0872865275142315 0.13215859030837 0.0765661252900232 0.0952380952380952 0.00966183574879227 0.0778588807785888 0.0874035989717224 0.0473537604456825 0.0896551724137931 0.0199203187250996 0.0673575129533679 0.0625 0.0178571428571429
"Dohh" 0.130508474576271 0.0705467372134039 0.0987654320987654 0.0777988614800759 0.092511013215859 0.0510440835266821 0.0571428571428571 0.0169082125603865 0.0778588807785888 0.172236503856041 0.0974930362116992 0.0827586206896552 0.0318725099601594 0.0984455958549223 0.09375 0.125
"Ctc1" 0.0254237288135593 0.0282186948853616 0.0388007054673721 0.032258064516129 0.0440528634361234 0.0626450116009281 0.0571428571428571 0.00966183574879227 0.0632603406326034 0.0282776349614396 0.0362116991643454 0.0137931034482759 0 0.0103626943005181 0.075 0.0357142857142857
"Plcb4" 0.00338983050847458 0.0017636684303351 0.0105820105820106 0 0.0066079295154185 0.00464037122969838 0.00476190476190476 0.0338164251207729 0.0024330900243309 0.0179948586118252 0.011142061281337 0.00689655172413793 0.0278884462151394 0.00518134715025907 0 0
"Lrig3" 0.00169491525423729 0 0 0 0.00220264317180617 0.00928074245939675 0.00714285714285714 0 0 0.0051413881748072 0 0.00344827586206897 0 0 0.00625 0
"Trak1" 0.076271186440678 0.0511463844797178 0.0828924162257496 0.0588235294117647 0.110132158590308 0.102088167053364 0.0714285714285714 0 0.0510948905109489 0.0796915167095116 0.0724233983286908 0.0482758620689655 0.0159362549800797 0.0673575129533679 0.1125 0.0357142857142857
