"0" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13"
"9930021J03Rik" 0.03725782414307 0.0503731343283582 0.0321361058601134 0.0288659793814433 0.029585798816568 0.018348623853211 0.0474452554744526 0.0231660231660232 0.108433734939759 0.0728744939271255 0.0545454545454545 0.0416666666666667 0.0526315789473684 0.12
"Ubxn4" 0.296572280178838 0.455223880597015 0.243856332703214 0.282474226804124 0.440828402366864 0.330275229357798 0.405109489051095 0.28957528957529 0.369477911646586 0.226720647773279 0.581818181818182 0.375 0.473684210526316 0.8
"Snap47" 0.00596125186289121 0.0447761194029851 0.00378071833648393 0.00824742268041237 0.0207100591715976 0.0489296636085627 0.0109489051094891 0.0115830115830116 0.0803212851405622 0.0323886639676113 0.0909090909090909 0.0625 0 0
"Sbf1" 0.0178837555886736 0.0597014925373134 0.0510396975425331 0.0288659793814433 0.014792899408284 0.0581039755351682 0.0364963503649635 0.0308880308880309 0.036144578313253 0.0445344129554656 0.145454545454545 0.0416666666666667 0 0
"Ckap5" 0.0193740685543964 0.0373134328358209 0.0510396975425331 0.0247422680412371 0.0443786982248521 0.0214067278287462 0.0291970802919708 0.0231660231660232 0.0281124497991968 0.311740890688259 0.0727272727272727 0.0416666666666667 0.0263157894736842 0.12
"Stambp" 0.0119225037257824 0.0298507462686567 0.0207939508506616 0.0474226804123711 0.0443786982248521 0.00305810397553517 0.0291970802919708 0.00386100386100386 0.0120481927710843 0.0364372469635627 0.0545454545454545 0.0625 0.0789473684210526 0.16
"Igf2bp1" 0.0014903129657228 0.00746268656716418 0.00945179584120983 0.00618556701030928 0.0118343195266272 0.00611620795107034 0.00364963503649635 0 0.00401606425702811 0.00404858299595142 0 0 0 0
"Fbxo5" 0.00447093889716841 0.0130597014925373 0.0207939508506616 0.0103092783505155 0.00887573964497041 0.0214067278287462 0 0.0154440154440154 0.00803212851405622 0.769230769230769 0.0727272727272727 0.0416666666666667 0 0.08
"Rnf170" 0.0134128166915052 0.0205223880597015 0.0151228733459357 0.0288659793814433 0.0473372781065089 0.018348623853211 0.0401459854014599 0.0193050193050193 0.0522088353413655 0.0404858299595142 0.0727272727272727 0.0208333333333333 0.0263157894736842 0.08
"Usp24" 0.0402384500745156 0.0485074626865672 0.0472589792060491 0.0329896907216495 0.0355029585798817 0.0519877675840979 0.0255474452554745 0.0347490347490347 0.0281124497991968 0.0445344129554656 0.0545454545454545 0.0625 0 0.08
