"0" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11"
"Sbf1" 0.0298313878080415 0.1104 0.0757314974182444 0.0795180722891566 0.149051490514905 0.0925925925925926 0.0850202429149798 0.092436974789916 0.0833333333333333 0.151260504201681 0.0941176470588235 0
"Ckap5" 0.0765239948119325 0.1504 0.120481927710843 0.120481927710843 0.168021680216802 0.103703703703704 0.0850202429149798 0.0756302521008403 0.0364583333333333 0.0756302521008403 0.141176470588235 0.0681818181818182
"Stambp" 0.0869001297016861 0.128 0.108433734939759 0.132530120481928 0.130081300813008 0.133333333333333 0.105263157894737 0.0798319327731092 0.078125 0.092436974789916 0.117647058823529 0.0454545454545455
"Igf2bp1" 0.00648508430609598 0.0192 0.0137693631669535 0.0144578313253012 0.013550135501355 0.0185185185185185 0.00809716599190283 0.00840336134453781 0.0104166666666667 0.00840336134453781 0 0
"Fbxo5" 0.0155642023346303 0.0112 0.00688468158347676 0.0072289156626506 0.016260162601626 0.00740740740740741 0.0526315789473684 0.00840336134453781 0 0.0252100840336134 0 0.204545454545455
"Rnf170" 0.0428015564202335 0.0656 0.0636833046471601 0.0626506024096385 0.0758807588075881 0.0777777777777778 0.105263157894737 0.0798319327731092 0.078125 0.0420168067226891 0.0823529411764706 0.0227272727272727
"Usp24" 0.0324254215304799 0.08 0.0671256454388985 0.0698795180722891 0.0921409214092141 0.0666666666666667 0.0607287449392713 0.0378151260504202 0.0260416666666667 0.0588235294117647 0.0705882352941176 0.0227272727272727
"Mcmbp" 0.501945525291829 0.344 0.320137693631669 0.380722891566265 0.306233062330623 0.359259259259259 0.340080971659919 0.411764705882353 0.291666666666667 0.378151260504202 0.305882352941176 0.181818181818182
"Agl" 0.153047989623865 0.304 0.227194492254733 0.32289156626506 0.276422764227642 0.296296296296296 0.246963562753036 0.197478991596639 0.171875 0.218487394957983 0.211764705882353 0.0909090909090909
"Svil" 0.91958495460441 0.9344 0.917383820998279 0.633734939759036 0.991869918699187 1.2 0.680161943319838 1.00840336134454 0.921875 0.932773109243697 0.835294117647059 0.863636363636364
"Scn2b" 0.0272373540856031 0.072 0.0602409638554217 0.0409638554216867 0.0623306233062331 0.0444444444444444 0.0566801619433198 0.0714285714285714 0.0208333333333333 0.0336134453781513 0.0117647058823529 0
"Myo5a" 0.0298313878080415 0.0768 0.0791738382099828 0.0650602409638554 0.102981029810298 0.0296296296296296 0.0445344129554656 0.0672268907563025 0.03125 0.109243697478992 0.0941176470588235 0.0227272727272727
