"0" "1" "2" "3" "4"
"Smox" 0.01875 0.0416666666666667 0.0163934426229508 0.115384615384615 0.216216216216216
"Pan3" 0.25625 0.375 0.508196721311475 0.442307692307692 0.216216216216216
"Gart" 0.10625 0.05 0.0655737704918033 0.153846153846154 0.0540540540540541
"Ube2m" 0.7375 0.766666666666667 0.754098360655738 0.769230769230769 0.648648648648649
"2610002M06Rik" 0.075 0.116666666666667 0.0983606557377049 0.0961538461538461 0.162162162162162
"Srsf11" 0.38125 0.358333333333333 0.442622950819672 0.461538461538462 0.54054054054054
"Atp5h" 4.68125 4.26666666666667 4.08196721311475 4.19230769230769 3.75675675675676
"Cd34" 0.01875 0.283333333333333 0 0.0384615384615384 1.91891891891892
"Ubn2" 0.1125 0.108333333333333 0.245901639344262 0.0961538461538461 0.216216216216216
"Atp11b" 0.05 0.1 0.0819672131147541 0.0961538461538462 0.162162162162162
"Arhgef39" 0.025 0 0.0163934426229508 0 0
"CAAA01147332.1" 0.10625 0.0583333333333333 0.114754098360656 0.0384615384615385 0.0540540540540541
"Drosha" 0.04375 0.0333333333333333 0.180327868852459 0.0576923076923077 0
"Pign" 0.01875 0.0416666666666667 0.0983606557377049 0.0384615384615385 0.108108108108108
"Mtx3" 0.0125 0.0166666666666667 0 0.0384615384615385 0.054054054054054
"Tgfbrap1" 0.05 0.0333333333333333 0.0491803278688525 0.0384615384615385 0
"Csf2ra" 0.03125 0.075 0.0163934426229508 0.0192307692307692 0.027027027027027
"Acp2" 0.13125 0.141666666666667 0.114754098360656 0.134615384615385 0.108108108108108
"Ttll1" 0.125 0.116666666666667 0.262295081967213 0.0576923076923077 0.027027027027027
"Ank3" 0.0375 0.0416666666666667 0.0163934426229508 0.0576923076923077 0.027027027027027
"Ythdf3" 0.0875 0.075 0.180327868852459 0.0576923076923077 0.0810810810810811
"Cnksr3" 0.0625 0.0416666666666667 0.0491803278688525 0.0384615384615385 0
"Odf2" 0.0625 0.0916666666666667 0.0491803278688525 0.0769230769230769 0.0810810810810811
"Spop" 0.93125 0.816666666666667 0.901639344262295 0.769230769230769 0.54054054054054
"Zfp446" 0.03125 0.00833333333333333 0.0327868852459016 0.0192307692307692 0
"Ltbp3" 0.55625 0.691666666666667 0.426229508196721 1.03846153846154 0.918918918918919
"D130007C19Rik" 0.0125 0.025 0.0163934426229508 0.0769230769230769 0.0810810810810811
