"0" "1" "2" "3" "4" "5" "6" "7"
"Plcb4" 0.1 0.207547169811321 1.03883495145631 0.0549450549450549 0.0731707317073171 0.666666666666667 0.297872340425532 0
"Lrig3" 0.0307692307692308 0.179245283018868 0.0388349514563107 0 0.207317073170732 0.352941176470588 0.212765957446808 0
"Trak1" 0.0769230769230769 0.169811320754717 0.087378640776699 0.120879120879121 0.195121951219512 0.0588235294117647 0.106382978723404 0.0526315789473684
"Smarcc1" 0.115384615384615 0.19811320754717 0.135922330097087 0.252747252747253 0.134146341463415 0.235294117647059 0.25531914893617 0.105263157894737
"Endov" 0.0846153846153846 0.132075471698113 0.0485436893203883 0.010989010989011 0.0487804878048781 0.0980392156862745 0.0638297872340425 0
"Ipmk" 0 0.0566037735849057 0.00970873786407767 0.0879120879120879 0.024390243902439 0.0588235294117647 0 0.184210526315789
"Stxbp4" 0 0.0471698113207547 0.0485436893203883 0.010989010989011 0.0609756097560976 0.0392156862745098 0.0851063829787234 0
"Adam33" 0 0 0.203883495145631 0.032967032967033 0.0121951219512195 0.137254901960784 0.234042553191489 0
"Ncoa2" 0.0307692307692308 0.113207547169811 0.0679611650485437 0.0549450549450549 0.109756097560976 0.0392156862745098 0.0425531914893617 0.0263157894736842
"Fgf12" 0 0.00943396226415094 0 0 0 0.0980392156862745 0.0212765957446809 0
"Ccdc137" 0.0384615384615385 0.179245283018868 0.087378640776699 0.043956043956044 0.0975609756097561 0.117647058823529 0.106382978723404 0.0789473684210526
"Mapre3" 0.0384615384615385 0.30188679245283 0.29126213592233 0 0.24390243902439 0.215686274509804 0.127659574468085 0.0526315789473684
"Frmd4a" 0.0769230769230769 0.122641509433962 0.0776699029126214 0.230769230769231 0.0365853658536585 0.0784313725490196 0.0851063829787234 0.0789473684210526
"Atp6v0a2" 0 0.132075471698113 0.0970873786407767 0.0769230769230769 0.207317073170732 0.137254901960784 0.212765957446808 0
"Dlg1" 0.115384615384615 0.122641509433962 0.174757281553398 0.032967032967033 0.158536585365854 0.196078431372549 0.0851063829787234 0.184210526315789
"Txlna" 0.0384615384615385 0.216981132075472 0.16504854368932 0.0989010989010989 0.268292682926829 0.156862745098039 0.276595744680851 0
